,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,814,19/07/2013 15:36,19/07/2013 15:50,510,W 51 St & 6 Ave,40.7606597,-73.98042047,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17752,Subscriber,1962,1
1,1764,19/07/2013 15:42,19/07/2013 16:12,388,W 26 St & 10 Ave,40.74971775,-74.00295035,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,16634,Subscriber,1976,1
2,524,19/07/2013 15:47,19/07/2013 15:56,388,W 26 St & 10 Ave,40.74971775,-74.00295035,444,Broadway & W 24 St,40.7423543,-73.98915076,16427,Subscriber,1977,1
3,422,19/07/2013 15:54,19/07/2013 16:01,388,W 26 St & 10 Ave,40.74971775,-74.00295035,523,W 38 St & 8 Ave,40.75466591,-73.99138152,19852,Subscriber,1981,1
4,445,19/07/2013 15:55,19/07/2013 16:03,388,W 26 St & 10 Ave,40.74971775,-74.00295035,523,W 38 St & 8 Ave,40.75466591,-73.99138152,20571,Subscriber,1984,1
5,658,19/07/2013 16:05,19/07/2013 16:16,388,W 26 St & 10 Ave,40.74971775,-74.00295035,488,W 39 St & 9 Ave,40.75645824,-73.99372222,17015,Subscriber,1966,1
6,846,19/07/2013 16:05,19/07/2013 16:19,359,E 47 St & Park Ave,40.75510267,-73.97498696,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19670,Subscriber,1965,1
7,11315,19/07/2013 16:07,19/07/2013 19:16,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,388,W 26 St & 10 Ave,40.74971775,-74.00295035,18922,Subscriber,1976,1
8,939,19/07/2013 16:14,19/07/2013 16:30,388,W 26 St & 10 Ave,40.74971775,-74.00295035,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,20203,Subscriber,1968,1
9,457,19/07/2013 16:15,19/07/2013 16:23,388,W 26 St & 10 Ave,40.74971775,-74.00295035,225,W 14 St & The High Line,40.74195138,-74.00803013,16781,Subscriber,1964,1
10,699,19/07/2013 16:20,19/07/2013 16:31,388,W 26 St & 10 Ave,40.74971775,-74.00295035,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,17752,Subscriber,1990,2
11,1196,19/07/2013 16:23,19/07/2013 16:43,388,W 26 St & 10 Ave,40.74971775,-74.00295035,303,Mercer St & Spring St,40.72362738,-73.99949601,17814,Subscriber,1979,2
12,221,19/07/2013 16:24,19/07/2013 16:28,388,W 26 St & 10 Ave,40.74971775,-74.00295035,494,W 26 St & 8 Ave,40.74734825,-73.99723551,17416,Subscriber,1959,2
13,1241,19/07/2013 16:28,19/07/2013 16:49,329,Greenwich St & N Moore St,40.72043411,-74.01020609,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15788,Subscriber,1957,2
14,384,19/07/2013 16:41,19/07/2013 16:47,388,W 26 St & 10 Ave,40.74971775,-74.00295035,453,W 22 St & 8 Ave,40.74475148,-73.99915362,14768,Subscriber,1961,1
15,2927,19/07/2013 16:46,19/07/2013 17:35,388,W 26 St & 10 Ave,40.74971775,-74.00295035,326,E 11 St & 1 Ave,40.72953837,-73.98426726,19571,Subscriber,1979,2
16,477,19/07/2013 16:48,19/07/2013 16:56,388,W 26 St & 10 Ave,40.74971775,-74.00295035,521,8 Ave & W 31 St,40.75044999,-73.99481051,19991,Subscriber,1976,1
17,1640,19/07/2013 16:49,19/07/2013 17:16,388,W 26 St & 10 Ave,40.74971775,-74.00295035,251,Mott St & Prince St,40.72317958,-73.99480012,17629,Subscriber,1982,1
18,1623,19/07/2013 16:49,19/07/2013 17:16,388,W 26 St & 10 Ave,40.74971775,-74.00295035,531,Forsyth St & Broome St,40.71893904,-73.99266288,20002,Subscriber,1981,2
19,379,19/07/2013 16:53,19/07/2013 16:59,435,W 21 St & 6 Ave,40.74173969,-73.99415556,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16685,Subscriber,1969,1
20,664,19/07/2013 16:57,19/07/2013 17:08,486,Broadway & W 29 St,40.7462009,-73.98855723,388,W 26 St & 10 Ave,40.74971775,-74.00295035,15688,Subscriber,1975,1
21,334,19/07/2013 16:59,19/07/2013 17:04,388,W 26 St & 10 Ave,40.74971775,-74.00295035,379,W 31 St & 7 Ave,40.749156,-73.9916,15788,Subscriber,1985,1
22,1082,19/07/2013 16:59,19/07/2013 17:17,388,W 26 St & 10 Ave,40.74971775,-74.00295035,153,E 40 St & 5 Ave,40.75206231,-73.9816324,14849,Subscriber,1971,2
23,577,19/07/2013 17:01,19/07/2013 17:11,388,W 26 St & 10 Ave,40.74971775,-74.00295035,456,E 53 St & Madison Ave,40.7597108,-73.97402311,16129,Subscriber,1969,1
24,956,19/07/2013 17:05,19/07/2013 17:21,444,Broadway & W 24 St,40.7423543,-73.98915076,388,W 26 St & 10 Ave,40.74971775,-74.00295035,17824,Subscriber,1972,1
25,1224,19/07/2013 17:11,19/07/2013 17:31,348,W Broadway & Spring St,40.72490985,-74.00154702,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16690,Subscriber,1974,1
26,305,19/07/2013 17:15,19/07/2013 17:20,388,W 26 St & 10 Ave,40.74971775,-74.00295035,325,E 19 St & 3 Ave,40.73624527,-73.98473765,17181,Subscriber,1976,1
27,737,19/07/2013 17:16,19/07/2013 17:28,388,W 26 St & 10 Ave,40.74971775,-74.00295035,514,12 Ave & W 40 St,40.76087502,-74.00277668,16685,Subscriber,1980,2
28,1515,19/07/2013 17:18,19/07/2013 17:43,388,W 26 St & 10 Ave,40.74971775,-74.00295035,401,Allen St & Rivington St,40.72019576,-73.98997825,17054,Subscriber,1992,1
29,161,19/07/2013 17:19,19/07/2013 17:22,388,W 26 St & 10 Ave,40.74971775,-74.00295035,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15688,Subscriber,1974,1
